abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
skullR50  3000  0.10 |  86.49 |  86.49→  79.16 | -49.33→ -51.18 | -1.845±0.046
skullR50    50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.20 |  19.40 |  19.40→  16.23 |   7.81→   6.97 | -0.841±0.029
skullR50   500  0.20 |  57.12 |  57.12→  50.85 |   8.83→   6.91 | -1.923±0.049
skullR50  1000  0.20 |  74.60 |  74.60→  67.64 |   0.92→  -1.37 | -2.289±0.052
skullR50  1500  0.20 |  81.03 |  81.03→  73.86 |  -8.47→ -10.88 | -2.417±0.056
skullR50  2000  0.20 |  84.16 |  84.16→  76.92 | -19.37→ -21.84 | -2.475±0.058
skullR50  3000  0.20 |  87.27 |  87.27→  79.88 | -41.91→ -44.47 | -2.559±0.061
skullRebuy   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.10 |  14.56 |  14.56→   0.37 |   5.72→   6.08 |  0.363±0.044
skullRebuy  500  0.10 |  52.98 |  52.98→  21.00 |   3.44→   4.83 |  1.391±0.222
skullRebuy 1000  0.10 |  72.32 |  72.32→  48.19 |  -5.78→  -7.08 | -1.299±0.367
skullRebuy 1500  0.10 |  79.41 |  79.41→  60.27 | -16.04→ -21.95 | -5.914±0.617
skullRebuy 2000  0.10 |  82.99 |  82.99→  66.66 | -26.75→ -37.73 |-10.986±0.785
skullRebuy 3000  0.10 |  86.49 |  86.49→  73.07 | -49.33→ -71.46 |-22.125±1.145
skullRebuy   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.20 |  19.40 |  19.40→   0.93 |   7.81→   8.34 |  0.529±0.053
skullRebuy  500  0.20 |  57.12 |  57.12→  25.73 |   8.83→  11.41 |  2.580±0.221
skullRebuy 1000  0.20 |  74.60 |  74.60→  52.03 |   0.92→   1.70 |  0.780±0.393
skullRebuy 1500  0.20 |  81.03 |  81.03→  63.14 |  -8.47→ -11.76 | -3.288±0.599
skullRebuy 2000  0.20 |  84.16 |  84.16→  68.79 | -19.37→ -27.68 | -8.314±0.779
skullRebuy 3000  0.20 |  87.27 |  87.27→  74.50 | -41.91→ -61.35 |-19.441±1.150
skullRevive   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.10 |  14.56 |  14.56→  12.08 |   5.72→   5.44 | -0.272±0.011
skullRevive  500  0.10 |  52.98 |  52.98→  47.09 |   3.44→   2.74 | -0.693±0.019
skullRevive 1000  0.10 |  72.32 |  72.32→  65.47 |  -5.78→  -6.62 | -0.839±0.018
skullRevive 1500  0.10 |  79.41 |  79.41→  72.24 | -16.04→ -16.93 | -0.891±0.020
skullRevive 2000  0.10 |  82.99 |  82.99→  75.81 | -26.75→ -27.65 | -0.901±0.021
skullRevive 3000  0.10 |  86.49 |  86.49→  79.16 | -49.33→ -50.26 | -0.927±0.022
skullRevive   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.20 |  19.40 |  19.40→  16.23 |   7.81→   7.16 | -0.649±0.021
skullRevive  500  0.20 |  57.12 |  57.12→  50.85 |   8.83→   7.49 | -1.340±0.034
skullRevive 1000  0.20 |  74.60 |  74.60→  67.64 |   0.92→  -0.59 | -1.519±0.033
skullRevive 1500  0.20 |  81.03 |  81.03→  73.86 |  -8.47→ -10.04 | -1.575±0.035
skullRevive 2000  0.20 |  84.16 |  84.16→  76.92 | -19.37→ -20.97 | -1.599±0.037
skullRevive 3000  0.20 |  87.27 |  87.27→  79.89 | -41.91→ -43.55 | -1.637±0.038
skullRide   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.10 |  14.56 |  14.56→  11.91 |   5.72→   4.77 | -0.952±0.042
skullRide  500  0.10 |  52.98 |  52.98→  40.35 |   3.44→  -3.73 | -7.162±0.124
skullRide 1000  0.10 |  72.32 |  72.32→  48.30 |  -5.78→ -22.75 |-16.977±0.210
skullRide 1500  0.10 |  79.41 |  79.41→  49.20 | -16.04→ -41.83 |-25.796±0.285
skullRide 2000  0.10 |  82.99 |  82.99→  48.87 | -26.75→ -60.87 |-34.129±0.375
skullRide 3000  0.10 |  86.49 |  86.49→  48.38 | -49.33→ -99.23 |-49.895±0.503
skullRide   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.20 |  19.40 |  19.40→  15.67 |   7.81→   6.19 | -1.618±0.051
skullRide  500  0.20 |  57.12 |  57.12→  41.08 |   8.83→  -0.43 | -9.264±0.134
skullRide 1000  0.20 |  74.60 |  74.60→  47.18 |   0.92→ -18.84 |-19.763±0.226
skullRide 1500  0.20 |  81.03 |  81.03→  47.79 |  -8.47→ -37.41 |-28.944±0.307
skullRide 2000  0.20 |  84.16 |  84.16→  47.63 | -19.37→ -56.79 |-37.424±0.380
skullRide 3000  0.20 |  87.27 |  87.27→  47.49 | -41.91→ -95.18 |-53.271±0.518
skullRide2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.10 |  14.56 |  14.56→  11.91 |   5.72→   4.82 | -0.893±0.039
skullRide2  500  0.10 |  52.98 |  52.98→  40.35 |   3.44→  -2.35 | -5.787±0.098
skullRide2 1000  0.10 |  72.32 |  72.32→  48.30 |  -5.78→ -17.07 |-11.296±0.133
skullRide2 1500  0.10 |  79.41 |  79.41→  49.20 | -16.04→ -30.31 |-14.272±0.145
skullRide2 2000  0.10 |  82.99 |  82.99→  48.87 | -26.75→ -42.89 |-16.144±0.155
skullRide2 3000  0.10 |  86.49 |  86.49→  48.38 | -49.33→ -67.40 |-18.066±0.149
skullRide2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.20 |  19.40 |  19.40→  15.67 |   7.81→   6.30 | -1.506±0.047
skullRide2  500  0.20 |  57.12 |  57.12→  41.08 |   8.83→   1.34 | -7.490±0.107
skullRide2 1000  0.20 |  74.60 |  74.60→  47.18 |   0.92→ -12.03 |-12.958±0.140
skullRide2 1500  0.20 |  81.03 |  81.03→  47.79 |  -8.47→ -24.21 |-15.737±0.151
skullRide2 2000  0.20 |  84.16 |  84.16→  47.63 | -19.37→ -36.69 |-17.316±0.151
skullRide2 3000  0.20 |  87.27 |  87.27→  47.49 | -41.91→ -60.78 |-18.866±0.152
swerve      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.10 |  15.98 |  14.56→  14.66 |   5.72→   5.73 |  0.012±0.091
swerve     500  0.10 |  27.17 |  52.98→  53.02 |   3.44→   3.42 | -0.018±0.243
swerve    1000  0.10 |  20.16 |  72.32→  72.14 |  -5.78→  -6.41 | -0.629±0.462
swerve    1500  0.10 |  15.12 |  79.41→  79.42 | -16.04→ -15.99 |  0.041±0.616
swerve    2000  0.10 |  11.73 |  82.99→  83.00 | -26.75→ -26.95 | -0.209±0.695
swerve    3000  0.10 |   7.81 |  86.49→  86.50 | -49.33→ -49.43 | -0.095±0.846
swerve      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.20 |  19.13 |  19.40→  19.47 |   7.81→   7.83 |  0.024±0.112
swerve     500  0.20 |  26.61 |  57.12→  57.02 |   8.83→   8.76 | -0.073±0.282
swerve    1000  0.20 |  18.88 |  74.60→  74.60 |   0.92→   0.80 | -0.124±0.407
swerve    1500  0.20 |  13.64 |  81.03→  81.02 |  -8.47→  -8.52 | -0.052±0.547
swerve    2000  0.20 |  10.43 |  84.16→  84.19 | -19.37→ -19.01 |  0.360±0.654
swerve    3000  0.20 |   7.00 |  87.27→  87.28 | -41.91→ -41.91 |  0.001±0.753

(node:43390) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///Users/yordanlasonov/Documents/GitHub/perps-games/sim/abilities-sim.ts is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to /Users/yordanlasonov/Documents/GitHub/perps-games/package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
